participant,item,feature,explain,purpose_a,cause_a,purpose_b,cause_b,condition,sex,race,age
1,canopener,way to turn and cut the can in a circle motion,a edge sharp enough to cut into the metal can.,0,0,1,0,artifact,male,white / european-american,30
3,canopener,ablitity to open tin cans,i has a cutting wheel that opens tin cans.,0,0,1,0,artifact,female,white / european-american,30
4,carburetor,all of the items make it work,i do not know what it does- so i think that all the components work together to make it run,0,1,0,0,artifact,female,white / european-american,48
5,abacus,sliding beads or markers,you have to be able to manipulate it,0,0,1,0,artifact,male,white / european-american,42
6,clock,"in the analog clock above, it would be the minute and hour hands, plus the mechanisms/gears that move them","without the hands in this analog clock, it's just a circular item with numbers on it.  it won't tell time",0,0,1,0,artifact,female,white / european-american,43
6,canopener,the gear plus the piercing wheel that cuts the can,"without those items, it would not be a can opener at all",0,0,0,1,artifact,female,white / european-american,43
6,carburetor,i don't know much about these other than they supply gas to the engine.,i don't know much about these other than they supply gas to the engine.,1,0,0,0,artifact,female,white / european-american,43
10,abacus,slidable beads,because without them you can’t keep count,0,0,1,0,artifact,male,white / european-american,NA
10,carburetor,storage chamber,because it holds the liquod fuel which is very important,1,0,0,0,artifact,male,white / european-american,NA
11,clock,the numbers and hands,that it has numbers and hands that move around to the correct time,0,0,1,0,artifact,female,white / european-american,49
11,abacus,the rows and little balls,that you can move the little balls around,1,0,0,0,artifact,female,white / european-american,49
12,carburetor,the mechanisms inside the carburetor.,to perform its duty it must have the proper mechanisms inside to fire off correctly.,1,0,1,1,artifact,female,white / european-american,36
13,clock,the numbers and hands,the numbers explain the time,0,0,1,0,artifact,female,white / european-american,35
17,carburetor,"the important features are on the inside, along with that outward facing pipe.",physics and chemistry. something happens inside this device that turned gas into car energy on internal combustion engines.,0,0,1,0,artifact,female,white / european-american,63
18,canopener,the cutting blade,its primary cutting material is aluminum and metallic cans,0,0,1,0,artifact,male,black / african american,24
19,clock,the most important feature is the mechanism that moves the hands.,"what makes a clock a clock are the hands, the mechanism that moves the hands and the face of the clock. all of those parts enable the clock to keep time.",1,0,1,1,artifact,female,white / european-american,57
19,canopener,the most important part is the part that cuts the can open.,the parts that make the can opener is the handle and the part that cuts the can open. those features are important so that you can hold the can opener and then open the can.,1,0,1,1,artifact,female,white / european-american,57
20,carburetor,the fuel intake and exit as well as the internal parts that process the fuel,"fuel has to enter and exit the carburetor and, while the fuel is inside, it gets mixed to become combustible",0,0,1,0,artifact,male,white / european-american,50
22,abacus,the beads and the color coding of them,that it is basically an analog calculator,0,0,1,0,artifact,male,white / european-american,32
26,abacus,the beads,being able to count with the beads meads an abacus an abacus.,1,0,1,1,artifact,female,white / european-american,NA
28,canopener,moving parts to open cans and bottles.,the mechanism which moves and opens items.,1,1,1,0,artifact,male,white / european-american,41
30,abacus,the beads and their color,it helps in its precision,1,0,0,0,artifact,male,black / african american,56
30,canopener,the teeth and the handle,the teeth and it the turn knob. both are needed to make it work,0,0,1,0,artifact,male,black / african american,56
33,abacus,the placement of the beads,the beads must be placed in such a way to provide consistent calculations,0,0,1,0,artifact,male,white / european-american,57
37,abacus,same number of beads on each level,same number of beads on each level and multiple levels,0,0,0,1,artifact,male,white / european-american,81
38,clock,time indicators and accuracy,without time indicators you wouldn't know the time. without accuracy you couldn't trust the time displayed,0,0,1,0,artifact,male,white / european-american,64
38,canopener,the ability to pierce a lid and to rotate around the lid,because any other way to open a can would be messier and harder,0,0,1,0,artifact,male,white / european-american,64
40,clock,the clock hands and the numbers,simply because it wouldn't be a clock without the features,0,0,0,1,artifact,female,other / prefer not to answer,39
40,abacus,the strings.,the strings and its components. without them one cannot input or output any information/data,1,0,0,0,artifact,female,other / prefer not to answer,39
42,abacus,all the balls represent numbers so they are very important.,the balls are the most important part of the abacus.,0,0,0,1,artifact,female,white / european-american,57
42,canopener,the blade mechanism is the most important feature on the can opener.,it has to have this mechanism or it won't work.,0,0,1,1,artifact,female,white / european-american,57
45,carburetor,what makes a carburetor a carburetor is its ability to mix air and fuel.,"it would have to be made in a very specific way as it is both durable and fragile in different ways. it has to be durable to endure time but it's also fragile because if made in the wrong way, it would be ineffective and dangerous.",1,0,0,0,artifact,male,latino / hispanic,35
48,clock,telling the time.,it is its inheirent characteristic.,0,0,0,1,artifact,female,white / european-american,38
49,clock,"hands, numbers, circle",to put together a picture you can make sense of,1,0,0,0,artifact,female,white / european-american,34
49,abacus,"beads, wire, wood",to hold the elemtns together,1,0,0,0,artifact,female,white / european-american,34
50,clock,hands,the movement indicates time passing,1,0,0,0,artifact,male,white / european-american,28
50,abacus,beads and colors,"round is a basic shape easy to manipulate, colors help with keeping track of number representation",1,0,0,0,artifact,male,white / european-american,28
53,abacus,the beads,the number of beads and colors to differenciate the category assigned to them,0,0,1,0,artifact,male,american indian / alaska native,34
53,carburetor,the air intake and fuel to air ratio,the carburetor decides the fuel to air ratio when the engines running,1,0,0,0,artifact,male,american indian / alaska native,34
54,carburetor,the different intricate pieces and the shape/open tunnel in the middle,"honestly, this is the first time i've seen a carburetor so i'm just going on visuals. i'm surmising that it is supposed to pump some sort of air or fluid, but i don't really know what it does",1,0,0,0,artifact,female,asian / asian-american,29
56,abacus,it has counting beads and guide wires to move them on,it has a way to move the counting beads and keep them in place so they cant slide unless you move them,1,0,0,0,artifact,female,white / european-american,53
58,clock,the battery.,if there is no battery then the clock hands will not move and time will not be measured,0,0,1,0,artifact,female,black / african american,23
67,clock,accuracy of time keeping. and legible size numbers,why use a broken clock? why use a tiny clock? not useful to me at all.,0,0,1,0,artifact,female,white / european-american,52
67,canopener,easy grip handle and the sharp blade and the angle at which it sits,can my hands use it well? and often does it do a clean job?,0,0,1,0,artifact,female,white / european-american,52
80,vulture,they are the scavengers always ready to clean up animal debris.,it's probably ingrained or instinct.,0,1,0,0,biological,female,white / european-american,70
81,vulture,big wings and beak,it's a predator,0,0,1,0,biological,other / prefer not to answer,white / european-american,27
87,bee,"small, 3 part insect body (head, thorax, abdomen), 6 legs, compound eyes, yellow and fuzzy, has a stinger, hive behavior, pollinator","natural selection, in that these features were advantageous to its environment so as a species they were able to feed and reproduce.",0,0,1,0,biological,female,white / european-american,34
