participant,item,feature,explain,purpose,cause,condition,sex,race,age
1,clock,"the different hands (second, minute, and hour)",to be able to distinguish a time,0,0,artifact,male,white / european-american,30
1,abacus,the beads attached on the line,to be able to do calculations,0,0,artifact,male,white / european-american,30
1,canopener,way to turn and cut the can in a circle motion,a edge sharp enough to cut into the metal can.,0,0,artifact,male,white / european-american,30
1,carburetor,a filtration system,to be able to run continuously,0,0,artifact,male,white / european-american,30
2,clock,the numbers and hands.,so that we can tell time.,0,0,artifact,female,white / european-american,28
2,abacus,that the balls can move.,so that we can count or keep track of things.,0,0,artifact,female,white / european-american,28
2,canopener,the two circle cutting blades.,to open cans.,0,0,artifact,female,white / european-american,28
2,carburetor,that is has all of the pieces,i don't know much about carbuertors,0,0,artifact,female,white / european-american,28
3,clock,accurate time keeping,it needs to function harmoniously to accurately keep time.,0,0,artifact,female,white / european-american,30
3,abacus,"a quick, visual way to count.","it has rows of beads representing numerical dimensions (ones, tens, hundreds, etc.)",0,0,artifact,female,white / european-american,30
3,canopener,ablitity to open tin cans,i has a cutting wheel that opens tin cans.,0,0,artifact,female,white / european-american,30
3,carburetor,performs it's function to mix air into fuel.,it is a part that performs the task of adding air to fuel to allow the engine/vehicle to run.,0,0,artifact,female,white / european-american,30
4,clock,the hands on it,the actual hands let me know that it is moving and recording time,0,0,artifact,female,white / european-american,48
4,abacus,the balls,so you are able to count the balls,0,0,artifact,female,white / european-american,48
4,canopener,the teeth,it needs the sharp teeth to open up the can,0,0,artifact,female,white / european-american,48
4,carburetor,all of the items make it work,i do not know what it does- so i think that all the components work together to make it run,0,0,artifact,female,white / european-american,48
5,clock,precision,it has to keep accurate time,0,0,artifact,male,white / european-american,42
5,abacus,sliding beads or markers,you have to be able to manipulate it,0,0,artifact,male,white / european-american,42
5,canopener,it has to open cans,that is the definition,0,0,artifact,male,white / european-american,42
5,carburetor,it has to aerate and distribute fuel,that is the definition,0,0,artifact,male,white / european-american,42
6,clock,"in the analog clock above, it would be the minute and hour hands, plus the mechanisms/gears that move them","without the hands in this analog clock, it's just a circular item with numbers on it.  it won't tell time",0,0,artifact,female,white / european-american,43
6,abacus,"i don't know anything about these at all, so i cannot comment.","i don't know anything about these at all, so i cannot comment.",0,0,artifact,female,white / european-american,43
6,canopener,the gear plus the piercing wheel that cuts the can,"without those items, it would not be a can opener at all",0,0,artifact,female,white / european-american,43
6,carburetor,i don't know much about these other than they supply gas to the engine.,i don't know much about these other than they supply gas to the engine.,0,0,artifact,female,white / european-american,43
7,clock,they tell us what time it is,to tell us the time,0,0,artifact,female,white / european-american,52
7,abacus,to learn from,so you can learn,0,0,artifact,female,white / european-american,52
7,canopener,it can open metal,to open a can for us,0,0,artifact,female,white / european-american,52
7,carburetor,making the engine get the right amount of air,to make your car engine run smooth with airflow and gas mixture,0,0,artifact,female,white / european-american,52
8,clock,accuracy,the ability to track the passage of time,0,0,artifact,female,white / european-american,66
8,abacus,ease of use,the ability to add and subtract,0,0,artifact,female,white / european-american,66
8,canopener,gripping the handle correctly to put pressure on the can so that the teeth can open the metal,can't open a can with a toothpick,0,0,artifact,female,white / european-american,66
8,carburetor,ability to mix fuel and air,cars that use gasoline would not be able to function without it,0,0,artifact,female,white / european-american,66
9,clock,"the hands are the most important, and then the numbers.",it has these features to create a measurement of time.,0,0,artifact,male,white / european-american,56
9,abacus,the beads are the most important followed by the metal rods.,the separation of colors on the beads allows one to count.,0,0,artifact,male,white / european-american,56
9,canopener,"the puncturing metal is the most important, followed by the handles.",it has these features so as to facilitate the opening of a can.,0,0,artifact,male,white / european-american,56
9,carburetor,"i don't know the exact function of a carburetor, so i don't know what the most important feature is.","again, i am not well versed on carburetors.",0,0,artifact,male,white / european-american,56
