StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,herons_within,polarbear_within,rabbits_within,wolves_within,herons_between,polarbear_between,rabbits_between,wolves_between,sex,age,race,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"CONSENT FORM

 

Thank you for agreeing to take part in this study. We appreciate your time and effort. In this study, we will present you with a fictional scenario, and then we will ask you to answer a brief series of questions about that scenario. The questions have no right or wrong answers-- we’re just exploring features of human psychology in this research. You will be paid $0.80 for your time and efforts. We do not anticipate any risks from participating in this research. While you will not directly benefit from taking part in this research study, we hope society and the scientific community will benefit from the knowledge gained about human psychology and judgment.

 

Your involvement should take about 4 minutes. Your participation is voluntary and you can stop at any time. If you consent to take part in this survey, please indicate so below, and then click the arrow to advance. If not, simply close your browser window. 

 

The research data will be collected anonymously. We will not ask you to provide any personally identifiable information (such as an email-address, name, etc.) and will not be able to link your response to you. We anticipate that your participation in this survey presents no greater risk than everyday use of the Internet. Of course, please note that there is always the possible risk of intrusion by outside agents (i.e. hacking) whenever information shared over the Internet. In order to keep your identifying information and data from this study separate, we will host the survey on an unaffiliated platform, Qualtrics. Thus, Prolific will not have access to the data you provide us. Additionally, we will not ask for directly or indirectly identifiable information in the survey. 

 

If you have any questions about the research study, please contact Shaun Nichols (sbn44@cornell.edu) at Cornell University. If you have any questions or concerns regarding your rights as a subject in this study, you may contact the Institutional Review Board (IRB) for Human Participants at 607-255-5138 or access their website at http://www.irb.cornell.edu. You may also report your concerns or complaints anonymously through Ethicspoint online at www.hotline.cornell.edu or by calling toll free at 1-866-293-3077. Ethicspoint is an independent organization that serves as a liaison between the University and the person bringing the complaint so that anonymity can be ensured.

 Taking part in this study is voluntary. You can stop at any time. Withdrawal or refusal to participate will not result in any penalty. You do not waive any legal rights or release any agent from liability for negligence by consenting to participate. 
If you consent to take part in this survey, please indicate so below:",Please enter your Prolific ID:,"In a litter of herons, some chicks have larger beaks than others. 

What do you think explains why some chicks in a litter have larger beaks than others?","In a litter of polar bears, some cubs have whiter fur than others.

What do you think explains why some polar bears have whiter fur than others?","In a litter of rabbits, some babies have hairier toes than others.

What do you think explains why some rabbits have hairier toes than others?","In a litter of wolves, some pups have sharper teeth than others. 

What do you think explains why some wolves have sharper teeth than others?","Herons have larger beaks than robins.

What do you think explains why herons have larger beaks than robins?","Polar bears have whiter fur than grizzly bears. 

What do you think explains why polar bears have whiter fur than grizzly bears?","Rabbits have hairier toes than raccoons.

What do you think explains why rabbits have hairier toes than raccoons?","Wolves have sharper teeth than groundhogs.  

What do you think explains why wolves have sharper teeth than groundhogs?",Please indicate your sex.,Please indicate your age (in years),What is your race/ethnicity?,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""endDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID254_TEXT""}","{""ImportId"":""QID523_TEXT""}","{""ImportId"":""QID532_TEXT""}","{""ImportId"":""QID540_TEXT""}","{""ImportId"":""QID531_TEXT""}","{""ImportId"":""QID533_TEXT""}","{""ImportId"":""QID539_TEXT""}","{""ImportId"":""QID535_TEXT""}","{""ImportId"":""QID534_TEXT""}","{""ImportId"":""QID1719895852""}","{""ImportId"":""QID1719895853_TEXT""}","{""ImportId"":""QID1719895854""}","{""ImportId"":""Condition""}"
8/6/25 7:16,8/6/25 7:17,IP Address,*******,100,99,TRUE,8/6/25 7:17,R_3DonzkCPwe5iW1q,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5b6e9435885b0b0001bb034b,,,,,How they eat food and what they have to do to get the food.,Different environment so there furs are different.,How much fur they have and the environment they are in.,Wolves need sharper teeth for the food they hunt and eat.,Male,28,Asian / Asian-American,Between
8/6/25 7:17,8/6/25 7:18,IP Address,*******,100,65,TRUE,8/6/25 7:18,R_1dYXxy8YgoxqaxH,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",66294472b8e914428870fcea,"Inherited traits from parents, these traits do not affect all offspring equally. ","Inherited traits from parents, these traits do not affect all offspring equally. ",Inherited traits from parents. ,Probably got the trait from their parents. ,,,,,Male,41,Other / Prefer not to answer,Within
8/6/25 7:17,8/6/25 7:18,IP Address,*******,100,95,TRUE,8/6/25 7:18,R_14zVBaqBgOlu8Ap,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",614f23fabc0fcaa3cdfb9e05,"again, genes would determine the size of the beaks",there are variations of white and the genes would determine that,genes would determine this I think,"each wolf develops at its own pace and some of them acquire sharper teeth before the others
",,,,,Female,49,White / European-American,Within
8/6/25 7:17,8/6/25 7:18,IP Address,*******,100,80,TRUE,8/6/25 7:18,R_1laeX26ukjccj8N,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",63ed1b44dc847ac2c0e41f82,,,,,Herons need larger beaks for eating fish,To help stay warmer in the winter,Rabbits need more protection and warmth for their toes than raccoons.,wolves need sharper teeth for eating their larger prey,Male,41,White / European-American,Between
8/6/25 7:17,8/6/25 7:18,IP Address,*******,100,80,TRUE,8/6/25 7:18,R_7ojvpWxSu1gaQff,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",66f4461fe6cf2a459a3e7180,,,,,They are larger birds,Their genes are different,Adaption to their environment is different.,They are carnivores,Female,34,White / European-American,Between
8/6/25 7:17,8/6/25 7:19,IP Address,*******,100,100,TRUE,8/6/25 7:19,R_72yIJgG5sH2NIR6,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",672cf326f28e34c4eab96fea,Certain genes are activated more than others.,Certain genes are activated more than others.,Certain genes are activated more than others.,Certain genes are activated more than others.,,,,,Male,73,White / European-American,Within
8/6/25 7:16,8/6/25 7:19,IP Address,*******,100,152,TRUE,8/6/25 7:19,R_1FXowF3V3MfmFuF,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",66fc2bcdcab83810a0978eea,"The ones with larger beaks may be bigger physically and thus, the beak size is larger in relation to their chick siblings.","I think that is just random. Since they all come from the same mother and father (presumably), it is just a random genetic trait that some have whiter fur than others.","Good question. I guess it is just genetic. Just like some siblings are taller than their brothers and sisters, for whatever reason, I would assume the hairier toes are just a genetic trait.","Wolves with sharper teeth probably are more ""alpha"" than the ones that don't. They might have more aggression (in the form of testosterone).",,,,,Male,30,White / European-American,Within
8/6/25 7:16,8/6/25 7:19,IP Address,*******,100,172,TRUE,8/6/25 7:19,R_7E6uQ9A4OnnYAL9,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",676f3d0f406358d0f37a55e6,,,,,To better get the fish out of the water.  Robins don't need long beaks to get bugs and worms.,To reflect the sunlight at the north pole off of their skin.,To leave their scent behind better at their burrows for the young bunnies,Their prey requires stronger and sharper teeth to break through bones.  Groundhogs do not need them to eat their food which is primarily vegetation.,Male,49,White / European-American,Between
