participant,item,explain,purpose,cause,condition,sex,race,age
1,herons,"inherited traits from parents, these traits do not affect all offspring equally.",0,0,within,male,other / prefer not to answer,41
1,polarbear,"inherited traits from parents, these traits do not affect all offspring equally.",0,0,within,male,other / prefer not to answer,41
1,rabbits,inherited traits from parents.,0,0,within,male,other / prefer not to answer,41
1,wolves,probably got the trait from their parents.,0,0,within,male,other / prefer not to answer,41
2,herons,"again, genes would determine the size of the beaks",0,1,within,female,white / european-american,49
2,polarbear,there are variations of white and the genes would determine that,0,1,within,female,white / european-american,49
2,rabbits,genes would determine this i think,0,1,within,female,white / european-american,49
2,wolves,"each wolf develops at its own pace and some of them acquire sharper teeth before the others
",0,0,within,female,white / european-american,49
3,herons,certain genes are activated more than others.,0,1,within,male,white / european-american,73
3,polarbear,certain genes are activated more than others.,0,1,within,male,white / european-american,73
3,rabbits,certain genes are activated more than others.,0,1,within,male,white / european-american,73
3,wolves,certain genes are activated more than others.,0,1,within,male,white / european-american,73
4,herons,"the ones with larger beaks may be bigger physically and thus, the beak size is larger in relation to their chick siblings.",0,0,within,male,white / european-american,30
4,polarbear,"i think that is just random. since they all come from the same mother and father (presumably), it is just a random genetic trait that some have whiter fur than others.",0,1,within,male,white / european-american,30
4,rabbits,"good question. i guess it is just genetic. just like some siblings are taller than their brothers and sisters, for whatever reason, i would assume the hairier toes are just a genetic trait.",0,1,within,male,white / european-american,30
4,wolves,"wolves with sharper teeth probably are more ""alpha"" than the ones that don't. they might have more aggression (in the form of testosterone).",0,0,within,male,white / european-american,30
5,herons,genetics and individuality,0,1,within,female,white / european-american,46
5,polarbear,"i imagine it’s genetics, same as why a litter of kittens are different colors.",0,1,within,female,white / european-american,46
5,rabbits,genetics and individuality,0,1,within,female,white / european-american,46
5,wolves,again genetics and individuality.,0,1,within,female,white / european-american,46
6,herons,also random genetic variations,0,1,within,male,white / european-american,20
6,polarbear,random genetic variations,0,1,within,male,white / european-american,20
6,rabbits,random genetic variations caused from birth,0,1,within,male,white / european-american,20
6,wolves,"random genetic differences, basically luck.",0,1,within,male,white / european-american,20
7,herons,some chicks have a larger beak because of their genetics.,0,1,within,male,white / european-american,53
7,polarbear,some polar bears have whiter fur because of their genetics.,0,1,within,male,white / european-american,53
7,rabbits,some rabbits have hairier toes because of their genetics.,0,1,within,male,white / european-american,53
7,wolves,some wolves have sharper teeth than others because of their varying genetics.,0,1,within,male,white / european-american,53
8,herons,different fathers.,0,0,within,male,white / european-american,44
8,polarbear,i don't know.,0,0,within,male,white / european-american,44
8,rabbits,their little feet get colder.,0,0,within,male,white / european-american,44
8,wolves,they chew more.,0,0,within,male,white / european-american,44
9,herons,genetic traits.,0,1,within,female,white / european-american,28
9,polarbear,due to genetic traits.,0,1,within,female,white / european-american,28
9,rabbits,differing genetic traits,0,1,within,female,white / european-american,28
9,wolves,they are just puppy teeth. they will still fall out when their permanent teeth come in.,0,0,within,female,white / european-american,28
10,herons,it could be males and females have different size beaks.,0,0,within,male,white / european-american,73
10,polarbear,this could be a difference in males and females.,0,0,within,male,white / european-american,73
10,rabbits,this could also be a difference in males and females.,0,0,within,male,white / european-american,73
10,wolves,i think this would be by them chewing things to sharpen them.,0,0,within,male,white / european-american,73
11,herons,"similar to before, i think this is associated with genetics over diet or behavior.",0,1,within,male,white / european-american,31
11,polarbear,i think it is primarily related to genetics in the beginning. it could be related to diet too i guess.,0,1,within,male,white / european-american,31
11,rabbits,i think this one is related to more genetics than the other possibilities mentioned earlier.,0,1,within,male,white / european-american,31
11,wolves,"similar to before, either genetics or diet. i suppose sharper teeth could be related to other behavior (chewing on logs, bones, etc.).",0,1,within,male,white / european-american,31
12,herons,"again, genetics. probably evolved to get more food and grow bigger",0,1,within,female,white / european-american,33
12,polarbear,evolution/genetics. probably helps to reflect the sun better so they don't overheat,0,1,within,female,white / european-american,33
12,rabbits,something with genetics? maybe they're destined to have more fur,0,1,within,female,white / european-american,33
12,wolves,evolution/genetics. to be able to hunt and eat better and maybe even different prey,0,1,within,female,white / european-american,33
13,herons,it might be a gene that both parents had.,0,1,within,female,white / european-american,38
13,polarbear,it might be genetic.,0,1,within,female,white / european-american,38
13,rabbits,it may be a recessive genetic gene.,0,1,within,female,white / european-american,38
13,wolves,it might be a gene carried from the parents.,0,1,within,female,white / european-american,38
14,herons,maybe one parent has that trait and the other doesn't.,0,0,within,female,white / european-american,69
14,polarbear,maybe the texture is different or thicker others.,0,0,within,female,white / european-american,69
14,rabbits,traits from their parents might be different than other rabbit parents.,0,0,within,female,white / european-american,69
14,wolves,they might be developing from a different trait than other wolves with less sharp teeth,0,0,within,female,white / european-american,69
15,herons,it's probably a dominant or recessive gene that is determined by the parents' existing genes.,0,1,within,female,white / european-american,62
15,polarbear,it's genetics passed down from the parents but there's a possibility that the cubs could be dirty.,0,1,within,female,white / european-american,62
15,rabbits,hairy toes on hares is determined by the combined genetics of both rabbit parents.,0,1,within,female,white / european-american,62
15,wolves,it's genetically inherited whether the teeth are sharper or not.,0,1,within,female,white / european-american,62
