participant,item,explain,purpose_a,cause_a,purpose_b,cause_b,condition,sex,race,age,correct
12,herons,"again, genetics. probably evolved to get more food and grow bigger",0,1,1,1,within,female,white / european-american,33,b
12,polarbear,evolution/genetics. probably helps to reflect the sun better so they don't overheat,0,1,1,1,within,female,white / european-american,33,b
12,wolves,evolution/genetics. to be able to hunt and eat better and maybe even different prey,0,1,1,1,within,female,white / european-american,33,b
19,wolves,the structure of their teeth differs because wolves can have sharper teeth than their peers by reason of genetic diversity and selection preferring characteristics that enhance hunting and survival.,0,1,1,1,within,male,white / european-american,32,b
21,rabbits,the rabbits might have ate different foods to increase the hair growth. they also may have different hormone levels that make them grow different types of hair and more of it.,0,0,0,1,within,male,white / european-american,36,b
26,rabbits,there was a genetic advantage to having hairier toes and it was passed on as a recessive gene.,0,1,1,1,within,other / prefer not to answer,white / european-american,35,a
41,herons,genetics and selective breeding?,0,1,1,1,within,male,white / european-american,37,a
45,herons,to help them eat different types of food better. i also think it's a natural thing.,0,0,1,0,within,male,black / african american,31,b
45,polarbear,i think it's because they want stay hidden and blend in better with the snow.,0,0,1,0,within,male,black / african american,31,b
45,rabbits,they probably need extra warmth and grip for hopping around in colder and slippery places.,0,0,1,0,within,male,black / african american,31,b
48,herons,"larger beaks make them better predators, it helps keep nature in balance",0,0,1,0,within,female,white / european-american,23,b
48,polarbear,whiter fur probably provides better camouflage in snowy environments. genetics from the parents most likely determined the color of the fur,0,1,1,1,within,female,white / european-american,23,b
48,wolves,natural selection most likely makes some animals stronger than others to even out the animal chain,0,0,1,0,within,female,white / european-american,23,a
49,rabbits,"i think that some baby rabbits are simply from a different species that adapted to a more harsh, or cooler climate and this is why they have hairier toes than other types of rabbits.",0,0,1,0,within,male,latino / hispanic,38,b
54,herons,so they're better equipped to get things like worms when digging around,0,0,1,0,within,male,asian / asian-american,47,b
54,polarbear,"genetics, mutations, survival of the fittest- easier for them to blend into the snow",0,1,1,1,within,male,asian / asian-american,47,b
54,rabbits,"survival of the fittest, perhaps it's extra protection from the ground",0,0,1,0,within,male,asian / asian-american,47,b
54,wolves,genetics; easier for them to eat meat,0,1,1,1,within,male,asian / asian-american,47,b
56,polarbear,same answer. that's how nature works. different arrangement of the genes.,0,1,0,0,within,female,white / european-american,48,a
59,rabbits,due to mutation,0,1,0,0,within,female,white / european-american,56,b
60,herons,maybe there are differences between male vs female or just natural variation or more inheritance from one parent or the other.,0,0,0,1,within,male,white / european-american,35,a
61,wolves,to make them more fearsome predators,0,0,1,0,within,other / prefer not to answer,other / prefer not to answer,28,b
72,herons,i think beaks determine the type of food they eat and their diet.,1,0,0,0,within,female,white / european-american,36,b
76,rabbits,adaption to their environment is different.,0,0,1,0,between,female,white / european-american,34,b
76,wolves,they are carnivores,0,0,1,0,between,female,white / european-american,34,a
79,herons,herons get their food from the water at different depths/,1,0,0,0,between,male,white / european-american,43,b
85,herons,herons eat fish while robins eat worms and seeds and fruit,0,0,1,0,between,male,black / african american,49,a
85,wolves,they are carnivores while groundhogs are plant eaters,0,0,1,0,between,male,black / african american,49,a
86,herons,they are wading birds and eat fish,0,0,1,0,between,female,white / european-american,29,a
86,rabbits,"i have no idea, because raccoons are scavengers",0,0,1,0,between,female,white / european-american,29,b
89,herons,herons are a larger species of birds and eat bigger things than robins do. they evolved having larger beaks.,0,0,1,0,between,male,latino / hispanic,37,a
92,herons,their hunting for food is different than robins.,0,0,1,0,between,female,white / european-american,54,b
