StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,dog_feature,dog_explain,fly_feature,fly_explain,snail_feature,snail_explain,osprey_feature,osprey_explain,shark_feature,shark_explain,coyote_feature,coyote_explain,bat_feature,bat_explain,turkey_feature,turkey_explain,mineral_feature,mineral_explain,desert_feature,desert_explain,valley_feature,valley_explain,river_feature,river_explain,soil_feature,soil_explain,platinum_feature,platinum_explain,lead_feature,lead_explain,oxygen_feature,oxygen_explain,sex,age,race,Condition,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"CONSENT FORM

 

Thank you for agreeing to take part in this study. We appreciate your time and effort. In this study, we will present you with a fictional scenario, and then we will ask you to answer a brief series of questions about that scenario. The questions have no right or wrong answers-- we’re just exploring features of human psychology in this research. You will be paid $0.80 for your time and efforts. We do not anticipate any risks from participating in this research. While you will not directly benefit from taking part in this research study, we hope society and the scientific community will benefit from the knowledge gained about human psychology and judgment.

 

Your involvement should take about 4 minutes. Your participation is voluntary and you can stop at any time. If you consent to take part in this survey, please indicate so below, and then click the arrow to advance. If not, simply close your browser window. 

 

The research data will be collected anonymously. We will not ask you to provide any personally identifiable information (such as an email-address, name, etc.) and will not be able to link your response to you. We anticipate that your participation in this survey presents no greater risk than everyday use of the Internet. Of course, please note that there is always the possible risk of intrusion by outside agents (i.e. hacking) whenever information shared over the Internet. In order to keep your identifying information and data from this study separate, we will host the survey on an unaffiliated platform, Qualtrics. Thus, Prolific will not have access to the data you provide us. Additionally, we will not ask for directly or indirectly identifiable information in the survey. 

 

If you have any questions about the research study, please contact Shaun Nichols (sbn44@cornell.edu) at Cornell University. If you have any questions or concerns regarding your rights as a subject in this study, you may contact the Institutional Review Board (IRB) for Human Participants at 607-255-5138 or access their website at http://www.irb.cornell.edu. You may also report your concerns or complaints anonymously through Ethicspoint online at www.hotline.cornell.edu or by calling toll free at 1-866-293-3077. Ethicspoint is an independent organization that serves as a liaison between the University and the person bringing the complaint so that anonymity can be ensured.

 Taking part in this study is voluntary. You can stop at any time. Withdrawal or refusal to participate will not result in any penalty. You do not waive any legal rights or release any agent from liability for negligence by consenting to participate. 
If you consent to take part in this survey, please indicate so below:",Please enter your Prolific ID:,What do you think the most important features are that make a dog a dog?,"When you think about what makes a dog a dog, what explains why it has those features?",What do you think the most important features are that make a fly a fly?,"When you think about what makes a fly a fly, what explains why it has those features?",What do you think the most important features are that make a snail a snail?,"When you think about what makes a snail a snail, what explains why it has those features?",What do you think the most important features are that make an osprey an osprey?,"When you think about what makes an osprey an osprey, what explains why it has those features?",What do you think the most important features are that make a shark a shark?,"When you think about what makes a shark a shark, what explains why it has those features?",What do you think the most important features are that make a coyote a coyote?,"When you think about what makes a coyote a coyote, what explains why it has those features?",What do you think the most important features are that make a bat a bat?,"When you think about what makes a bat a bat, what explains why it has those features?",What do you think the most important features are that make a turkey a turkey?,"When you think about what makes a turkey a turkey, what explains why it has those features?",What do you think the most important features are that make a mineral a mineral?,"When you think about what makes a mineral a mineral, what explains why it has those features?",What do you think the most important features are that make a desert a desert?,"When you think about what makes a desert a desert, what explains why it has those features?",What do you think the most important features are that make a valley a valley?,"When you think about what makes a valley a valley, what explains why it has those features?",What do you think the most important features are that make a river a river?,"When you think about what makes a river a river, what explains why it has those features?",What do you think the most important features are that make soil soil?,"When you think about what makes soil soil, what explains why it has those features?",What do you think the most important features are that make platinum platinum?,"When you think about what makes platinum platinum, what explains why it has those features?",What do you think the most important features are that make lead lead?,"When you think about what makes lead lead, what explains why it has those features?",What do you think the most important features are that make oxygen oxygen?,"When you think about what makes oxygen oxygen, what explains why it has those features?",Please indicate your sex.,Please indicate your age (in years),What is your race/ethnicity?,Condition,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""endDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Phoenix""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID254_TEXT""}","{""ImportId"":""QID534_TEXT""}","{""ImportId"":""QID535_TEXT""}","{""ImportId"":""QID536_TEXT""}","{""ImportId"":""QID537_TEXT""}","{""ImportId"":""QID538_TEXT""}","{""ImportId"":""QID539_TEXT""}","{""ImportId"":""QID540_TEXT""}","{""ImportId"":""QID541_TEXT""}","{""ImportId"":""QID542_TEXT""}","{""ImportId"":""QID543_TEXT""}","{""ImportId"":""QID544_TEXT""}","{""ImportId"":""QID545_TEXT""}","{""ImportId"":""QID546_TEXT""}","{""ImportId"":""QID547_TEXT""}","{""ImportId"":""QID548_TEXT""}","{""ImportId"":""QID549_TEXT""}","{""ImportId"":""QID520_TEXT""}","{""ImportId"":""QID521_TEXT""}","{""ImportId"":""QID522_TEXT""}","{""ImportId"":""QID523_TEXT""}","{""ImportId"":""QID491_TEXT""}","{""ImportId"":""QID492_TEXT""}","{""ImportId"":""QID524_TEXT""}","{""ImportId"":""QID525_TEXT""}","{""ImportId"":""QID526_TEXT""}","{""ImportId"":""QID527_TEXT""}","{""ImportId"":""QID528_TEXT""}","{""ImportId"":""QID529_TEXT""}","{""ImportId"":""QID530_TEXT""}","{""ImportId"":""QID531_TEXT""}","{""ImportId"":""QID532_TEXT""}","{""ImportId"":""QID533_TEXT""}","{""ImportId"":""QID1719910665""}","{""ImportId"":""QID1719910666_TEXT""}","{""ImportId"":""QID1719910667""}","{""ImportId"":""Condition""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
9/23/25 4:40,9/23/25 4:42,IP Address,*******,100,92,TRUE,9/23/25 4:42,R_70qa1bGssP3Ai6B,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5b2f2c586d601d0001d5cd73,,,,,,,,,,,,,,,,,,,"dry, shrub, sand",climate,,,flow and water,movement,nutrients,eaerth,,,composition,nature,,,Male,40,White / European-American,Chem,
9/23/25 4:40,9/23/25 4:42,IP Address,*******,100,150,TRUE,9/23/25 4:42,R_72QAZOxKWtC3hjx,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",64012a2623351894f2917605,"Its fur, tails, ears and face and nose and body",Because its What God intended to give it when he made it,,,,,,,,,its body and hair and tail and head,Its how one looks really like similar to a wolf,its fangs and its wings,because it what I think of when I think of a bat,its body and legs and head and neck,I think of those things when I think of a turkey its long neck,,,,,,,,,,,,,,,,,Male,36,Latino / Hispanic,Bio,
9/23/25 4:40,9/23/25 4:43,IP Address,*******,100,186,TRUE,9/23/25 4:43,R_6mTo4bedte7QdiN,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",65c10d00ae3f026034946adb,,,,,,,,,,,,,,,,,Content,Past climate events,Expanses of sand,Climate,,,Water flow,Past climate events,,,,,Mineral content,Past world climate events,,,Female,67,White / European-American,Chem,
9/23/25 4:41,9/23/25 4:43,IP Address,*******,100,130,TRUE,9/23/25 4:43,R_5j8axF4S0yMdNAp,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5e87c385d43d19456f757328,Their playfulness and need for attention.,Those are the features we are accustomed to and come to expect.,The annoying buzzing,Flies have always been around and you expect them to show up anywhere.,,,,,The dangerous teeth of theirs.,They are one of the best predators in the ocean.,,,,,Big tail and the red stuff around their neck,Those the usually the defining features of a turkey. It is something that would come to mind when you think about a turkey.,,,,,,,,,,,,,,,,,Male,25,Asian / Asian-American,Bio,
9/23/25 4:41,9/23/25 4:43,IP Address,*******,100,145,TRUE,9/23/25 4:43,R_5luhbygRZbWmflq,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",666ad9cd9e785efb19474220,,,his eyes,god made them that way,,,his body and claws,god made his that way,his body and teeth,God made them that way,,,,,"his head, body and feet",because they are a bird,,,,,,,,,,,,,,,,,Female,52,White / European-American,Bio,
9/23/25 4:41,9/23/25 4:44,IP Address,*******,100,174,TRUE,9/23/25 4:44,R_7DK3ltA4eqKGElb,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",67f143504964cf3f7cb349cf,its sense of smell,recognition no matter where it is,,,its shell,for protection from the elements,,,,,its eyesight,to be able to hunt or see in the dark,its hearing,so it can feed,,,,,,,,,,,,,,,,,,,Male,58,White / European-American,Bio,
9/23/25 4:40,9/23/25 4:44,IP Address,*******,100,188,TRUE,9/23/25 4:44,R_1IWpRIVlCtV7k2L,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",664b8bef90cdb799d4c4c35d,,,,,,,,,,,,,,,,,,,scare rainfall,weather,,,Flowing and fresh water are the most important features that make a river a river.,Geography and weather explain why it has those features.,dirt type and soil composition,Climate and plant life,,,Its composition,Its formation process explains that.,,,Male,31,White / European-American,Chem,
9/23/25 4:40,9/23/25 4:44,IP Address,*******,100,210,TRUE,9/23/25 4:44,R_7t4GB35VLR1Dv1u,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5a53d878acc75b000179e52e,,,,,,,,,,,,,,,,,,,,,erosion,erosion,,,"organic matter mixed with clay, sand, loam, etc.",because of biological processes,,,the lead makes lead lead,because its lead,oxygen atoms,becuase its oxygen,Male,46,White / European-American,Chem,
9/23/25 4:40,9/23/25 4:44,IP Address,*******,100,208,TRUE,9/23/25 4:44,R_7jz8n3JSKmTOZRD,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5ec79b5033c65502ce2acade,"4 legs, and a dog brain","the 4 legs make them walk like a dog, and their brain is what makes them behave like one.",,,The shell and the antenna,"The shell protects them, and the antenna are where their eyes are.",,,,,"The big bushy tail, long legs",The big bushy tail makes them look different from other dogs and the long legs allow them to run fast.,"wings, face","The wings make them fly, and their face gives them their distinct look and their ability to eat insects",,,,,,,,,,,,,,,,,,,Male,25,White / European-American,Bio,
9/23/25 4:42,9/23/25 4:44,IP Address,*******,100,123,TRUE,9/23/25 4:44,R_1Q0z7bzO92lRHKX,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",673d25851173193daa4771ca,"It's appearance, it's bark",It's appearance,"The buzzing sound, the wings, the annoying peskiness, the big eyes",It's appearance and personality,"The shell, the body, the slowness",It's appearance,,,,,,,,,It's appearance,It's appearance,,,,,,,,,,,,,,,,,Female,31,White / European-American,Bio,
9/23/25 4:40,9/23/25 4:45,IP Address,*******,100,340,TRUE,9/23/25 4:45,R_6uWLAUXQfxHHL3z,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",6301bea375d97d2ebbd2a107,,,A fly’s wings and it’s aerodynamic body are what make it fly.,It has these features because it evolved to have them.,The snail’s shell is its most notable feature.,Snails evolved shells for protection.,"An osprey’s feathers, beak, and tail are its most notable features.",It evolved to have them.,A shark’s teeth are its most important feature.,Sharks evolved their teeth to hunt.,,,,,,,,,,,,,,,,,,,,,,,Female,33,White / European-American,Bio,
9/23/25 4:42,9/23/25 4:46,IP Address,*******,100,208,TRUE,9/23/25 4:46,R_14rtjp3bytYmKCR,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5af1c4dfaec2b600010a96c9,,,,,,,its color,its brown and red hue,it body shape,the fin at the top. large teeth and protruding nose,its long legs,the legs are much longer than most dogs that it looks like,wing shape,its folds or sections of the wings and the outer shape,,,,,,,,,,,,,,,,,,,Female,56,White / European-American,Bio,
9/23/25 4:41,9/23/25 4:46,IP Address,*******,100,286,TRUE,9/23/25 4:46,R_6DTctgS2KwB9blr,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",65cb6d799d023df9be06bfb6,,,,,,,,,,,,,,,,,"chemical makeup, crystalline structure",the electron distribution and interactions cause it to form a physical repeating structure,"hot days, cold nights, lack of water",lack of water and lack of insulation (eg clouds) and flat structure/lack of plant life come together to produce a dry environment where weather is dictated by the presence or absence of sun without additional buffer,,,,,,,durable,chemical makeup structure of the molecule,"able to write with it, poisonous",may generate free radicals?,,,Female,27,Asian / Asian-American,Chem,
9/23/25 4:41,9/23/25 4:46,IP Address,*******,100,326,TRUE,9/23/25 4:46,R_7IXwO9BZJvPOpoo,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",664ea702fbdc6c41eb8ee937,,,The wings.,"I think the wings on a fly is the most important feature because without the wings, a fly can't fly.",,,The claws.,I think the claws on an osprey make it stand out.,The razor sharp teeth.,The shark is known to kill its victims with those razor sharp teeth.,,,,,The long red neck.,I think the long red neck on a turkey gives the turkey that distinct gobble gobble sound.,,,,,,,,,,,,,,,,,Male,44,Asian / Asian-American,Bio,
9/23/25 4:41,9/23/25 4:47,IP Address,*******,100,350,TRUE,9/23/25 4:47,R_7fGIN5znOjmPpmM,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",5e455faf462e0802d9d9c3e2,The four legs and facial features make a dog a canine.,Dogs over time have been domesticated into having these features by humans.,,,The iconic shell combined with the long sluggish body of the snail are the most distinctive features.,Evolution over time has decided a shell would protect the snail from predators and also give them a nice retreat option that provides shelter. ,,,,,The canine face with fangs are the most distinctive features of the animal.,Coyotes have evolved these features to hunt prey and become a top predator in their ecological niche. ,The trademark wings and small body make a bat.,Bats have evolved these features to hunt insects that fly in the air and hang in places away from predators.,,,,,,,,,,,,,,,,,,,Male,31,Latino / Hispanic,Bio,
9/23/25 4:42,9/23/25 4:47,IP Address,*******,100,273,TRUE,9/23/25 4:47,R_1CZu8J3hjBjSNap,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",65600aa7ff0c0fcf0ddcda34,,,,,,,,,,,,,,,,,,,"It has a lot of sand, high temperatures and very little rainfall. ",I believe it is the evolution of the climate of the planet over the life of the planet and deserts develop in such regions. ,,,it is long and made of water and not too deep. The water flows down its length. ,It develops those features due to the structure of the land around it and flows from whatever source it comes from. ,,,The purity of there metal in the sample is what makes it platinum and the chemical composition of that metal. . ,It is the chemical composition. Platinum is an element so the platinum can be analyzed to meet that chemistry definition. ,,,It's chemical composition which is very straightforward. ,It has these features due to its chemical structure. ,Male,45,White / European-American,Chem,
