item,kind
aardvark,lnk
albatross,lnk
alligator,lnk
alpaca,lnk
anchovy,lnk
ant,lnk
anteater,lnk
antelope,lnk
ape,lnk
armadillo,lnk
ass,lnk
baboon,lnk
badger,lnk
bat,lnk
beaver,lnk
bee,lnk
beetle,lnk
bird,lnk
boar,lnk
bobcat,lnk
bug,lnk
buffalo,lnk
bull,lnk
butterfly,lnk
buzzard,lnk
calf,lnk
camel,lnk
cat,lnk
caterpillar,lnk
cattle,lnk
cheetah,lnk
chick,lnk
chicken,lnk
chimp,lnk
chimpanzee,lnk
chipmunk,lnk
clam,lnk
cockroach,lnk
cod,lnk
condor,lnk
cougar,lnk
cow,lnk
coyote,lnk
crab,lnk
crane,lnk
cricket,lnk
crocodile,lnk
crow,lnk
deer,lnk
dinosaur,lnk
dog,lnk
dolphin,lnk
donkey,lnk
dove,lnk
dragon,lnk
dragonfly,lnk
duck,lnk
duckling,lnk
eagle,lnk
eaglet,lnk
eel,lnk
elephant,lnk
elk,lnk
emu,lnk
ferret,lnk
fish,lnk
flea,lnk
fly,lnk
fowl,lnk
fox,lnk
frog,lnk
gazelle,lnk
gerbil,lnk
giraffe,lnk
gnat,lnk
gnu,lnk
goat,lnk
goldfish,lnk
goose,lnk
gorilla,lnk
grasshopper,lnk
grouse,lnk
guinea,lnk
hamster,lnk
hare,lnk
hawk,lnk
hedgehog,lnk
hen,lnk
heron,lnk
hippopotamus,lnk
hog,lnk
hornet,lnk
horse,lnk
hound,lnk
hyena,lnk
impala,lnk
insect,lnk
jaguar,lnk
jellyfish,lnk
kangaroo,lnk
kitten,lnk
koala,lnk
lamb,lnk
lemur,lnk
leopard,lnk
lion,lnk
lizard,lnk
llama,lnk
lobster,lnk
locust,lnk
louse,lnk
macaw,lnk
maggot,lnk
mallard,lnk
manatee,lnk
marten,lnk
mink,lnk
minnow,lnk
mole,lnk
monkey,lnk
moose,lnk
mosquito,lnk
moth,lnk
mouse,lnk
mule,lnk
mussel,lnk
octopus,lnk
orangutan,lnk
osprey,lnk
ostrich,lnk
otter,lnk
owl,lnk
ox,lnk
oyster,lnk
panda,lnk
panther,lnk
parrot,lnk
partridge,lnk
peacock,lnk
pelican,lnk
penguin,lnk
pig,lnk
pigeon,lnk
platypus,lnk
pony,lnk
porcupine,lnk
porpoise,lnk
pup,lnk
puppy,lnk
quail,lnk
rabbit,lnk
raccoon,lnk
rat,lnk
raven,lnk
reindeer,lnk
rhinoceros,lnk
robin,lnk
rooster,lnk
salmon,lnk
scorpion,lnk
seal,lnk
shark,lnk
sheep,lnk
shrimp,lnk
skunk,lnk
sloth,lnk
snail,lnk
snake,lnk
sparrow,lnk
spider,lnk
sprat,lnk
squid,lnk
squirrel,lnk
stallion,lnk
sturgeon,lnk
swallow,lnk
swan,lnk
swine,lnk
tadpole,lnk
termite,lnk
thrush,lnk
tiger,lnk
toad,lnk
tortoise,lnk
trout,lnk
tuna,lnk
turkey,lnk
turtle,lnk
vulture,lnk
wallaby,lnk
walrus,lnk
wasp,lnk
weasel,lnk
whale,lnk
wildebeest,lnk
wolf,lnk
wombat,lnk
worm,lnk
yak,lnk
zebra,lnk
zebrafish,lnk
acid,nlnk
air,nlnk
carbon,nlnk
gas,nlnk
gold,nlnk
iron,nlnk
lead,nlnk
mercury,nlnk
oxygen,nlnk
platinum,nlnk
salt,nlnk
silver,nlnk
steam,nlnk
sulfur,nlnk
water,nlnk
beach,nlnk
bog,nlnk
boulder,nlnk
cave,nlnk
cliff,nlnk
desert,nlnk
diamond,nlnk
dune,nlnk
earth,nlnk
field,nlnk
glacier,nlnk
gravel,nlnk
hill,nlnk
island,nlnk
lake,nlnk
land,nlnk
limestone,nlnk
mineral,nlnk
mountain,nlnk
ocean,nlnk
pebble,nlnk
plain,nlnk
plateau,nlnk
pond,nlnk
quartz,nlnk
reef,nlnk
river,nlnk
rock,nlnk
sand,nlnk
shore,nlnk
soil,nlnk
stone,nlnk
stream,nlnk
valley,nlnk
volcano,nlnk
